scientific_name,class,order,family,family_common,wikipedia_url,inaturalist_url
Acrocephalus palustris,,,,,https://en.wikipedia.org/wiki/Acrocephalus_palustris,https://www.inaturalist.org/taxa/116802
Acrocephalus percernis,,,,,https://en.wikipedia.org/wiki/Acrocephalus_percernis,https://www.inaturalist.org/taxa/339719
Acrocephalus rehsei,,,,,https://en.wikipedia.org/wiki/Acrocephalus_rehsei,https://www.inaturalist.org/taxa/117182
Acrocephalus rimitarae,,,,,https://en.wikipedia.org/wiki/Acrocephalus_rimitarae,https://www.inaturalist.org/taxa/144929
Acrocephalus rodericanus,,,,,https://en.wikipedia.org/wiki/Acrocephalus_rodericanus,https://www.inaturalist.org/taxa/116769
Acrocephalus rufescens,,,,,https://en.wikipedia.org/wiki/Acrocephalus_rufescens,https://www.inaturalist.org/taxa/116803
Acrocephalus schoenobaenus,,,,,https://en.wikipedia.org/wiki/Acrocephalus_schoenobaenus,https://www.inaturalist.org/taxa/116804
Acrocephalus scirpaceus,,,,,https://en.wikipedia.org/wiki/Acrocephalus_scirpaceus,https://www.inaturalist.org/taxa/116805
Acrocephalus sechellensis,,,,,https://en.wikipedia.org/wiki/Acrocephalus_sechellensis,https://www.inaturalist.org/taxa/117184
Acrocephalus sorghophilus,,,,,https://en.wikipedia.org/wiki/Acrocephalus_sorghophilus,https://www.inaturalist.org/taxa/117185
Acrocephalus stentoreus,,,,,https://en.wikipedia.org/wiki/Acrocephalus_stentoreus,https://www.inaturalist.org/taxa/116806
Acrocephalus syrinx,,,,,https://en.wikipedia.org/wiki/Acrocephalus_syrinx,https://www.inaturalist.org/taxa/116807
Acrocephalus taiti,,,,,https://en.wikipedia.org/wiki/Acrocephalus_taiti,https://www.inaturalist.org/taxa/117186
Acrocephalus tangorum,,,,,https://en.wikipedia.org/wiki/Acrocephalus_tangorum,https://www.inaturalist.org/taxa/117187
Acrocephalus vaughani,,,,,https://en.wikipedia.org/wiki/Acrocephalus_vaughani,https://www.inaturalist.org/taxa/116770
Acrocephalus yamashinae,,,,,https://en.wikipedia.org/wiki/Acrocephalus_yamashinae,https://www.inaturalist.org/taxa/339717
Acrochordopus burmeisteri,Aves,Passeriformes,Tyrannidae,,https://en.wikipedia.org/wiki/Acrochordopus_burmeisteri,https://www.inaturalist.org/taxa/1586930
Acrochordopus zeledoni,Aves,Passeriformes,Tyrannidae,,https://en.wikipedia.org/wiki/Acrochordopus_zeledoni,https://www.inaturalist.org/taxa/1586921
Acrodectes philopagus,Insecta,Orthoptera,Tettigoniidae,,https://en.wikipedia.org/wiki/Acrodectes_philopagus,https://www.inaturalist.org/taxa/733633
Acrometopa cretensis,Insecta,Orthoptera,Tettigoniidae,,https://en.wikipedia.org/wiki/Acrometopa_cretensis,https://www.inaturalist.org/taxa/346100
Acrometopa italica,Insecta,Orthoptera,Tettigoniidae,,https://en.wikipedia.org/wiki/Acrometopa_italica,https://www.inaturalist.org/taxa/933556
Acrometopa macropoda,Insecta,Orthoptera,Tettigoniidae,,https://en.wikipedia.org/wiki/Acrometopa_macropoda,https://www.inaturalist.org/taxa/933555
Acrometopa servillea,Insecta,Orthoptera,Tettigoniidae,,https://en.wikipedia.org/wiki/Acrometopa_servillea,https://www.inaturalist.org/taxa/603488
Acrometopa syriaca,Insecta,Orthoptera,Tettigoniidae,,https://en.wikipedia.org/wiki/Acrometopa_syriaca,https://www.inaturalist.org/taxa/465335
Acropternis orthonyx,Aves,Passeriformes,Rhinocryptidae,,https://en.wikipedia.org/wiki/Acropternis_orthonyx,https://www.inaturalist.org/taxa/14795
Acryllium vulturinum,Aves,Galliformes,Numididae,,https://en.wikipedia.org/wiki/Acryllium_vulturinum,https://www.inaturalist.org/taxa/1449
Actenoides bougainvillei,Aves,Coraciiformes,Alcedinidae,,https://en.wikipedia.org/wiki/Actenoides_bougainvillei,https://www.inaturalist.org/taxa/2430
Actenoides concretus,Aves,Coraciiformes,Alcedinidae,,https://en.wikipedia.org/wiki/Actenoides_concretus,https://www.inaturalist.org/taxa/2437
Actenoides hombroni,Aves,Coraciiformes,Alcedinidae,,https://en.wikipedia.org/wiki/Actenoides_hombroni,https://www.inaturalist.org/taxa/2423
Actenoides lindsayi,Aves,Coraciiformes,Alcedinidae,,https://en.wikipedia.org/wiki/Actenoides_lindsayi,https://www.inaturalist.org/taxa/2424
Actenoides monachus,Aves,Coraciiformes,Alcedinidae,,https://en.wikipedia.org/wiki/Actenoides_monachus,https://www.inaturalist.org/taxa/2427
Actenoides princeps,Aves,Coraciiformes,Alcedinidae,,https://en.wikipedia.org/wiki/Actenoides_princeps,https://www.inaturalist.org/taxa/2433
Actinodura cyanouroptera,Aves,Passeriformes,Leiothrichidae,,https://en.wikipedia.org/wiki/Actinodura_cyanouroptera,https://www.inaturalist.org/taxa/339876
Actinodura egertoni,Aves,Passeriformes,Leiothrichidae,,https://en.wikipedia.org/wiki/Actinodura_egertoni,https://www.inaturalist.org/taxa/15467
Actinodura morrisoniana,Aves,Passeriformes,Leiothrichidae,,https://en.wikipedia.org/wiki/Actinodura_morrisoniana,https://www.inaturalist.org/taxa/15470
Actinodura nipalensis,Aves,Passeriformes,Leiothrichidae,,https://en.wikipedia.org/wiki/Actinodura_nipalensis,https://www.inaturalist.org/taxa/15466
Actinodura ramsayi,Aves,Passeriformes,Leiothrichidae,,https://en.wikipedia.org/wiki/Actinodura_ramsayi,https://www.inaturalist.org/taxa/15468
Actinodura sodangorum,Aves,Passeriformes,Leiothrichidae,,https://en.wikipedia.org/wiki/Actinodura_sodangorum,https://www.inaturalist.org/taxa/72457
Actinodura souliei,Aves,Passeriformes,Leiothrichidae,,https://en.wikipedia.org/wiki/Actinodura_souliei,https://www.inaturalist.org/taxa/15471
Actinodura strigula,Aves,Passeriformes,Leiothrichidae,,https://en.wikipedia.org/wiki/Actinodura_strigula,https://www.inaturalist.org/taxa/339877
Actinodura waldeni,Aves,Passeriformes,Leiothrichidae,,https://en.wikipedia.org/wiki/Actinodura_waldeni,https://www.inaturalist.org/taxa/15469
Actitis hypoleucos,Aves,Charadriiformes,Scolopacidae,,https://en.wikipedia.org/wiki/Actitis_hypoleucos,https://www.inaturalist.org/taxa/3978
Actitis macularius,Aves,Charadriiformes,Scolopacidae,,https://en.wikipedia.org/wiki/Actitis_macularius,https://www.inaturalist.org/taxa/72458
Actophilornis africanus,Aves,Charadriiformes,Jacanidae,,https://en.wikipedia.org/wiki/Actophilornis_africanus,https://www.inaturalist.org/taxa/4585
Actophilornis albinucha,Aves,Charadriiformes,Jacanidae,,https://en.wikipedia.org/wiki/Actophilornis_albinucha,https://www.inaturalist.org/taxa/4584
Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,,https://en.wikipedia.org/wiki/Addax_nasomaculatus,https://www.inaturalist.org/taxa/42395
Adelomyia melanogenys,Aves,Apodiformes,Trochilidae,,https://en.wikipedia.org/wiki/Adelomyia_melanogenys,https://www.inaturalist.org/taxa/6166
Adelophryne amapaensis,Amphibia,Anura,Eleutherodactylidae,,https://en.wikipedia.org/wiki/Adelophryne_amapaensis,https://www.inaturalist.org/taxa/1176818
Adelophryne baturitensis,Amphibia,Anura,Eleutherodactylidae,,https://en.wikipedia.org/wiki/Adelophryne_baturitensis,https://www.inaturalist.org/taxa/23033
Adelotus brevis,Amphibia,Anura,Limnodynastidae,,https://en.wikipedia.org/wiki/Adelotus_brevis,https://www.inaturalist.org/taxa/22084
Adelpha californica,Insecta,,,,https://en.wikipedia.org/wiki/Adelpha_californica,https://www.inaturalist.org/taxa/67560
Adelphobates quinquevittatus,Amphibia,Anura,Dendrobatidae,,https://en.wikipedia.org/wiki/Adelphobates_quinquevittatus,https://www.inaturalist.org/taxa/64832
Adenomera andreae,Amphibia,Anura,Leptodactylidae,,https://en.wikipedia.org/wiki/Adenomera_andreae,https://www.inaturalist.org/taxa/135011
Adenomera araucaria,Amphibia,Anura,Leptodactylidae,,https://en.wikipedia.org/wiki/Adenomera_araucaria,https://www.inaturalist.org/taxa/135012
Adenomera bokermanni,Amphibia,Anura,Leptodactylidae,,https://en.wikipedia.org/wiki/Adenomera_bokermanni,https://www.inaturalist.org/taxa/135013
Adenomera diptyx,Amphibia,Anura,Leptodactylidae,,https://en.wikipedia.org/wiki/Adenomera_diptyx,https://www.inaturalist.org/taxa/135015
Adenomera heyeri,Amphibia,Anura,Leptodactylidae,,https://en.wikipedia.org/wiki/Adenomera_heyeri,https://www.inaturalist.org/taxa/135017
Adenomera hylaedactyla,Amphibia,Anura,Leptodactylidae,,https://en.wikipedia.org/wiki/Adenomera_hylaedactyla,https://www.inaturalist.org/taxa/135018
Adenomera marmorata,Amphibia,Anura,Leptodactylidae,,https://en.wikipedia.org/wiki/Adenomera_marmorata,https://www.inaturalist.org/taxa/135020
Adenomera nana,Amphibia,Anura,Leptodactylidae,,https://en.wikipedia.org/wiki/Adenomera_nana,https://www.inaturalist.org/taxa/135022
Adenomera saci,Amphibia,Anura,Leptodactylidae,,https://en.wikipedia.org/wiki/Adenomera_saci,https://www.inaturalist.org/taxa/476636
Aechmophorus clarkii,Aves,Podicipediformes,Podicipedidae,,https://en.wikipedia.org/wiki/Aechmophorus_clarkii,https://www.inaturalist.org/taxa/4234
Aechmophorus occidentalis,Aves,Podicipediformes,Podicipedidae,,https://en.wikipedia.org/wiki/Aechmophorus_occidentalis,https://www.inaturalist.org/taxa/4235
Aegithalos caudatus,Aves,Passeriformes,Aegithalidae,,https://en.wikipedia.org/wiki/Aegithalos_caudatus,https://www.inaturalist.org/taxa/7278
Aegithalos concinnus,Aves,Passeriformes,Aegithalidae,,https://en.wikipedia.org/wiki/Aegithalos_concinnus,https://www.inaturalist.org/taxa/7277
Aegithalos exilis,Aves,Passeriformes,Aegithalidae,,https://en.wikipedia.org/wiki/Aegithalos_exilis,https://www.inaturalist.org/taxa/1429206
Aegithalos fuliginosus,Aves,Passeriformes,Aegithalidae,,https://en.wikipedia.org/wiki/Aegithalos_fuliginosus,https://www.inaturalist.org/taxa/7281
Aegithalos glaucogularis,Aves,Passeriformes,Aegithalidae,,https://en.wikipedia.org/wiki/Aegithalos_glaucogularis,https://www.inaturalist.org/taxa/339693
Aegithalos iouschistos,Aves,Passeriformes,Aegithalidae,,https://en.wikipedia.org/wiki/Aegithalos_iouschistos,https://www.inaturalist.org/taxa/7279
Aegithalos leucogenys,Aves,Passeriformes,Aegithalidae,,https://en.wikipedia.org/wiki/Aegithalos_leucogenys,https://www.inaturalist.org/taxa/7280
Aegithalos niveogularis,Aves,Passeriformes,Aegithalidae,,https://en.wikipedia.org/wiki/Aegithalos_niveogularis,https://www.inaturalist.org/taxa/7276
Aegithina lafresnayei,Aves,Passeriformes,Aegithinidae,,https://en.wikipedia.org/wiki/Aegithina_lafresnayei,https://www.inaturalist.org/taxa/7939
Aegithina nigrolutea,Aves,Passeriformes,Aegithinidae,,https://en.wikipedia.org/wiki/Aegithina_nigrolutea,https://www.inaturalist.org/taxa/7940
