scientific_name,locale,common_name
Certhilauda semitorquata,af,Grasveldlangbeklewerik
Certhilauda subcoronata,af,Karoolangbeklewerik
Cervus canadensis,af,Amerikaanse elk
Cervus elaphus,af,edelhert
Cervus nippon,af,Sikahert
Ceryle rudis,af,Bontvisvanger
Ceuthmochares aereus,af,Groenvleiloerie
Ceuthmochares australis,af,Groenvleiloerie
Chaetops aurantius,af,Oranjeborsberglyster
Chaetops frenatus,af,Kaapse berglyster
Chalcomitra amethystina,af,Swartsuikerbekkie
Chalcomitra senegalensis,af,Rooiborssuikerbekkie
Chamaetylas fuelleborni,af,Witborswoudlyster
Charadrius alexandrinus,af,Kentse strandkiewiet
Charadrius dubius,af,Kleinringnekstrandkiewiet
Charadrius hiaticula,af,Ringnekstrandkiewiet
Charadrius leschenaultii,af,Grootstrandkiewiet
Charadrius mongolus,af,Mongoolse strandkiewiet
Charadrius tricollaris,af,Driebandstrandkiewiet
Charaxes cithaeron,af,Bloukoldubbelstert
Chersomanes albofasciata,af,Vlaktelewerik
Chionis minor,af,Kleinskedebek
Chiromantis xerampelina,af,Grysskuimnesboompadda
Chlidonias hybrida,af,Witbaardsterretjie
Chlidonias leucopterus,af,Witvlerksterretjie
Chlidonias niger,af,Swartsterretjie
Chloebia gouldiae,af,Gouldian Finch
Chloephaga poliocephala,af,Gryskopgans
Chloephaga rubidiceps,af,Rooikopgans
Chlorocebus pygerythrus,af,Blouaap
Chloroceryle aenea,af,Amerikaanse dwergvisvanger
Chlorocichla flaviventris,af,Geelborswillie
Chlorophoneus nigrifrons,af,Swartoogboslaksman
Chlorophoneus olivaceus,af,Olyfboslaksman
Chlorophoneus sulfureopectus,af,Oranjeborsboslaksman
Chloropicus fuscescens,af,Kardinaalspeg
Chloropicus griseocephalus,af,Gryskopspeg
Chloropicus namaquus,af,Baardspeg
Chroicocephalus cirrocephalus,af,Gryskopmeeu
Chroicocephalus genei,af,Dunbekmeeu
Chroicocephalus hartlaubii,af,Hartlaubse meeu
Chroicocephalus ridibundus,af,Swartkopmeeu
Chrysococcyx caprius,af,Diederikkie
Chrysococcyx cupreus,af,Mooimeisie
Chrysococcyx klaas,af,Meitjie
Chrysolophus amherstiae,af,Lady Amherst-fisant
Cichladusa arquata,af,Palmmôrelyster
Cichladusa ruficauda,af,Rooistertmôrelyster
Cicinnurus magnificus,af,Manjifieke Paradysvoël
Ciconia abdimii,af,Kleinswartooievaar
Ciconia ciconia,af,Witooievaar
Ciconia episcopus,af,Wolnekooievaar
Ciconia nigra,af,Grootswartooievaar
Cinnyricinclus leucogaster,af,Witborsspreeu
Cinnyris afer,af,Grootrooibandsuikerbekkie
Cinnyris bifasciatus,af,Purperbandsuikerbekkie
Cinnyris chalybeus,af,Kleinrooibandsuikerbekkie
Cinnyris cupreus,af,Kopersuikerbekkie
Cinnyris fuscus,af,Namakwasuikerbekkie
Cinnyris manoensis,af,Miombo-rooibandsuikerbekkie
Cinnyris mariquensis,af,Maricosuikerbekkie
Cinnyris neergaardi,af,Bloukruissuikerbekkie
Cinnyris shelleyi,af,Swartpenssuikerbekkie
Cinnyris talatala,af,Witpenssuikerbekkie
Cinnyris venustus,af,Geelpenssuikerbekkie
Circaetus cinerascens,af,Enkelbandslangarend
Circaetus cinereus,af,Bruinslangarend
Circaetus fasciolatus,af,Dubbelbandslangarend
Circaetus gallicus,af,Swartborsslangarend
Circaetus pectoralis,af,Swartborsslangarend
Circus aeruginosus,af,Europese vleivalk
Circus hudsonius,af,Amerikaanse vleivalk
Circus macrourus,af,Witborsvleivalk
Circus maurus,af,Witkruisvleivalk
Circus pygargus,af,Blouvleivalk
Circus ranivorus,af,Afrikaanse vleivalk
Cisticola aberrans,af,Luitinktinkie
Cisticola aridulus,af,Woestynklopkloppie
Cisticola ayresii,af,Kleinste klopkloppie
Cisticola brachypterus,af,Kortvlerktinktinkie
Cisticola brunnescens,af,Bleekkopklopkloppie
Cisticola cantans,af,Singende tinktinkie
Cisticola chiniana,af,Bosveldtinktinkie
Cisticola cinnamomeus,af,Bleekkopklopkloppie
Cisticola erythrops,af,Rooiwangtinktinkie
Cisticola fulvicapilla,af,Neddikie
Cisticola galactotes,af,Luapulatinktinkie
Cisticola juncidis,af,Landeryklopkloppie
Cisticola lais,af,Huiltinktinkie
Cisticola luapula,af,Luapulatinktinkie
Cisticola natalensis,af,Groottinktinkie
Cisticola pipiens,af,Piepende tinktinkie
Cisticola rufilatus,af,Rooitinktinkie
Cisticola subruficapilla,af,Grysrugtinktinkie
Cisticola textrix,af,Gevlekte klopkloppie
Cisticola tinniens,af,Vleitinktinkie
Clamator glandarius,af,Gevlekte koekoek
Clamator jacobinus,af,Bontnuwejaarsvoël
Clamator levaillantii,af,Gestreepte nuwejaarsvoël
Clanga clanga,af,Groot Gevlekte Arend
Clanga pomarina,af,Gevlekte arend
Coccopygia bocagei,af,Angolaswie
Coccopygia melanotis,af,Suidelike Swie (Suidelike Swiesysie)
Coccopygia quartinia,af,Tropiese Swie (Tropiese Swiesysie)
Colius castanotus,af,Rooirugmuisvoël
Colius colius,af,Witkruismuisvoël
Colius striatus,af,Gevlekte muisvoël
Coloeus monedula,af,Kerkkraai
Columba arquatrix,af,Geelbekbosduif
Columba delegorguei,af,Withalsbosduif
Columba guinea,af,Kransduif
Columba larvata,af,Kaneelduif
Columba livia,af,Wildeposduif
Columba palumbus,af,Europese Bosduif
Connochaetes gnou,af,Swartwildebees
Connochaetes taurinus,af,Blouwildebees
Coracias benghalensis,af,Indiese Troupant
Coracias caudatus,af,Gewone troupant
Coracias garrulus,af,Europese troupant
Coracias naevius,af,Groottroupant
Coracias spatulatus,af,Knopsterttroupant
Coracina caesia,af,Bloukatakoeroe
Coracina pectoralis,af,Witborskatakoeroe
Cornu aspersum,af,Gewone tuinslak
Corvus albicollis,af,Withalskraai
Corvus albus,af,Witborskraai
Corvus capensis,af,Swartkraai
Corvus corax,af,Raaf
Corvus corone,af,Aaskraai
Corvus crassirostris,af,Dikbekraaf
Corvus frugilegus,af,Roek
Corvus monedula,af,Kerkkraai
Corvus ruficollis,af,Bruinnekraaf
Corvus splendens,af,Huiskraai
Corypha africana,af,Rooineklewerik
Corypha apiata,af,Kaapse Klappertjie
Corypha fasciolata,af,Hoëveldklappertjie
Corythaixoides concolor,af,Kwêvoël
Corythornis cristatus,af,Kuifkopvisvanger
Coscoroba coscoroba,af,Coscoroba-swaan
Cossypha caffra,af,Gewone janfrederik
Cossypha dichroa,af,Lawaaimakerjanfrederik
Cossypha heuglini,af,Heuglinjanfrederik
Cossypha humeralis,af,Witkeeljanfrederik
Cossypha natalensis,af,Nataljanfrederik
Cotinga maculata,af,Halsbandkotinga
Coturnix coturnix,af,Afrikaanse kwartel
Coturnix delegorguei,af,Bontkwartel
Coturnix japonica,af,Japanese Reënkwartel
Creatophora cinerea,af,Lelspreeu
Crex crex,af,Kwartelkoning
Crinifer concolor,af,Kwêvoël
Crithagra albogularis,af,Witkeelkanarie
Crithagra atrogularis,af,Bergkanarie
Crithagra flaviventris,af,Geelkanarie
Crithagra gularis,af,Streepkopkanarie
Crithagra hyposticta,af,Sitrienkanarie
Crithagra mozambica,af,Geeloogkanarie
Crithagra scotops,af,Gestreepte Kanarie
Crithagra sulphurata,af,Dikbekkanarie
Crocuta crocuta,af,Gevlekte hiëna
Cryptillas victorini,af,Rooiborsruigtesanger
Cryptolybia olivacea,af,Groenhoutkapper
Cryptospiza reichenovii,af,Rooiwangwoudsysie
Cuculus canorus,af,Europese koekoek
Cuculus clamosus,af,Swartkoekoek
Cuculus gularis,af,Afrikaanse koekoek
Cuculus poliocephalus,af,Kleinkoekoek
Cuculus rochii,af,Madagaskarkoekoek
Cuculus solitarius,af,Piet-my-vrou
Curruca communis,af,Witkeelsanger
Curruca conspicillata,af,Brilsanger
Curruca layardi,af,Grystjeriktik
Curruca subcoerulea,af,Bosveldtjeriktik
Cursorius rufus,af,Bloukopdrawwertjie
Cursorius temminckii,af,Trekdrawwertjie
Cyanocitta cristata,af,Blougaai
Cyanolyca nanus,af,Witkeeldwerggaai
Cyanolyca pumilo,af,Swartkeeldwerggaai
Cyanomitra olivacea,af,Olyfsuikerbekkie
Cyanomitra veroxii,af,Gryssuikerbekkie
Cygnus atratus,af,Swartswaan
Cygnus buccinator,af,Trompetterswaan
Cygnus columbianus,af,Fluitswaan
Cygnus cygnus,af,Singswaan
Cygnus melancoryphus,af,Swartnekswaan
Cygnus olor,af,Witswaan
Cynictis penicillata,af,Rooimeerkat
Cypsiurus parvus,af,Palmwindswael
Dama dama,af,Damhert
Daption capense,af,Seeduifstormvoël
Delichon urbicum,af,Huisswael
Delphinapterus leucas,af,Witdolfyn
Dendrocitta formosae,af,Grysborsboomekster
Dendrocygna bicolor,af,Fluiteend
Dendrocygna viduata,af,Nonnetjie-eend
Dendropicos fuscescens,af,Kardinaalspeg
Dendropicos griseocephalus,af,Gryskopspeg
Deroptyus accipitrinus,af,Valkpapegaai
Dessonornis caffer,af,Gewone janfrederik
Dessonornis humeralis,af,Witkeeljanfrederik
Diceros bicornis,af,Swartrenoster
Dicrurus adsimilis,af,Mikstertbyvanger
Dicrurus divaricatus,af,Mikstertbyvanger
Dicrurus ludwigii,af,Kleinbyvanger
Diomedea amsterdamensis,af,Amsterdamalbatross (-malmok)
Diomedea dabbenena,af,Tristangrootalbatros
Diomedea epomophora,af,Witvlerkkoningalbatros
Diomedea exulans,af,Grootmalmok
Diomedea sanfordi,af,Swartvlerkkoningalbatros
Diphyllodes magnificus,af,Manjifieke Paradysvoël
Dromaius novaehollandiae,af,Emoe
Dromas ardeola,af,Krapvreter
Dryoscopus cubla,af,Sneeubal
Ectopistes migratorius,af,Trekduif
Egretta ardesiaca,af,Swartreier
Egretta caerulea,af,Kleinbloureier
Egretta garzetta,af,Kleinwitreier
Egretta gularis,af,Westelike kusreier
Egretta thula,af,Sneeuwitreier
Egretta vinaceigula,af,Rooikeelreier
Elanus caeruleus,af,Blouvalk
Elaphodus cephalophus,af,Kuifhert
Elminia albonotata,af,Witstertvlieëvanger
Emarginata schlegelii,af,Karoospekvreter
Emarginata sinuata,af,Vlaktespekvreter
Emarginata tractrac,af,Woestynspekvreter
Emberiza cabanisi,af,Geelstreepkoppie
Emberiza capensis,af,Rooivlerkstreepkoppie
Emberiza flaviventris,af,Rooirugstreepkoppie
Emberiza hortulana,af,Ortolanstreepkoppie
Emberiza impetuani,af,Vaalstreepkoppie
Emberiza tahapisi,af,Klipstreepkoppie
Enhydra lutris,af,Seeotter
Ensifera ensifera,af,Swaardkolibrie
Environmental,af,Omgewing
Ephippiorhynchus senegalensis,af,Saalbekooievaar
Equus quagga,af,Bontkwagga
Equus zebra,af,Bergkwagga
Eremomela gregalis,af,Groenbossanger
Eremomela icteropygialis,af,Geelpensbossanger
Eremomela scotops,af,Donkerwangbossanger
Eremomela usticollis,af,Bruinkeelbossanger
Eremopterix australis,af,Swartoorlewerik
Eremopterix leucotis,af,Rooiruglewerik
Eremopterix verticalis,af,Grysruglewerik
Erythrocercus livingstonei,af,Rooistertvlieëvanger
Erythropitta erythrogaster,af,Blouborspitta
Estrilda astrild,af,Rooibeksysie
Eubalaena australis,af,Suidelike noorkapper
Eudyptes chrysocome,af,Geelkuifpikkewyn
Eudyptes chrysolophus,af,Langkuifpikkewyn
Eudyptula minor,af,Kleinpikkewyn
Euplectes afer,af,Goudgeelvink
Euplectes ardens,af,Rooikeelflap
Euplectes axillaris,af,Kortstertflap
Euplectes capensis,af,Kaapse flap
Euplectes hordeaceus,af,Vuurkopvink
Euplectes macroura,af,Geelrugflap
Euplectes orix,af,Rooivink
Euplectes progne,af,Langstertflap
Eupodotis afra,af,Swartvlerkkorhaan
Eupodotis afraoides,af,Witvlerkkorhaan
Eupodotis caerulescens,af,Bloukorhaan
Eupodotis ruficrista,af,Boskorhaan
Eupodotis senegalensis,af,Witpenskorhaan
Eupodotis vigorsii,af,Vaalkorhaan
Eurocephalus anguitimens,af,Kremetartlaksman
Euryptila subcinnamomea,af,Kaneelborssanger
Eurystomus glaucurus,af,Geelbektroupant
Falco amurensis,af,Oostelike rooipootvalk
Falco ardosiaceus,af,Donkergrysvalk
Falco biarmicus,af,Edelvalk
Falco chicquera,af,Rooinekvalk
Falco concolor,af,Roetvalk
Falco cuvierii,af,Afrikaanse boomvalk
Falco dickinsoni,af,Dickinsonse grysvalk
Falco eleonorae,af,Eleonoravalk
Falco fasciinucha,af,Taitavalk
Falco naumanni,af,Kleinrooivalk
Falco peregrinus,af,Swerfvalk
Falco rupicoloides,af,Grootrooivalk
Falco rupicolus,af,Kransvalk
Falco subbuteo,af,Europese boomvalk
Falco tinnunculus,af,Toringvalk
Falco vespertinus,af,Westelike rooipootvalk
Felis chaus,af,Moeraskat
Felis silvestris,af,Wildekat
Ficedula albicollis,af,Withalsvlieëvanger
Foudia flavicans,af,Rodrigues-wewer
Foudia madagascariensis,af,Madagaskarwewer
Foudia rubra,af,Mauritiuswewer
Foudia sechellarum,af,Seychellewewer
Fraseria caerulescens,af,Blougrysvlieëvanger
Fraseria plumbea,af,Waaierstertvlieëvanger
Fregata ariel,af,Kleinfregatvoël
Fregata minor,af,Grootfregatvoël
Fregetta grallaria,af,Witpensstormswael
Fregetta tropica,af,Swartpensstormswael
Fringilla coelebs,af,Gryskoppie
Fulica cristata,af,Bleshoender
Fulmarus glacialoides,af,Silwerstormvoël
Galago moholi,af,nagapie
Galerida magnirostris,af,Dikbeklewerik
Gallinago media,af,Dubbelsnip
Gallinago nigripennis,af,Afrikaanse snip
Gallinula chloropus,af,Grootwaterhoender
Gallinula comeri,af,Goughwaterhoender
Gallirex porphyreolophus,af,Bloukuifloerie
Gallus gallus,af,Rooiboshoender
Garrodia nereis,af,Grysrugstormswael
Garrulus glandarius,af,Eurasiese gaai
Gelochelidon nilotica,af,Oostelike sterretjie
Geocolaptes olivaceus,af,Grondspeg
Geokichla gurneyi,af,Oranjelyster
Geokichla guttata,af,Natallyster
Geospiza conirostris,af,Groot kaktusgrondvink
Geronticus calvus,af,Kalkoenibis
Geronticus eremita,af,Waldrapp-ibis
Giraffa camelopardalis,af,Noord kameelperd
Glareola nordmanni,af,Swartvlerksprinkaanvoël
Glareola nuchalis,af,Withalssprinkaanvoël
Glareola pratincola,af,Rooivlerksprinkaanvoël
Glaucestrilda perreini,af,Gryssysie
Glaucestrilda thomensis,af,Angolasysie
Glaucidium capense,af,Gebande uil
Glaucidium perlatum,af,Witkoluil
Granatina granatina,af,Koningblousysie
Grus grus,af,Kraanvoël
Grus paradiseus,af,Bloukraanvoël
Gulo gulo,af,Veelvraat
Gun,af,Geweerskoot
Guttera pucherani,af,Kuifkoptarentaal
Gygis alba,af,Feeseeswael
Gymnogyps californianus,af,Kaliforniese kondor
Gymnorhinus cyanocephalus,af,Pinjongaai
Gymnoris superciliaris,af,Geelvlekmossie
Gypaetus barbatus,af,Baardaasvoël
Gypohierax angolensis,af,Witaasvoël
Gyps africanus,af,Witrugaasvoël
Gyps coprotheres,af,Kransaasvoël
Gyps fulvus,af,Eurasiese griffioenaasvoël
